castaway_id,castaway,tribe,season,episode,sog_id,tribal_id,is_merged,n_players_at_tribal,n_players_remaining,game_progress,eliminated,running_ind_immunity_win,running_ind_reward_win,running_tribal_immunity_win,running_total_challenges,running_attended,running_votes_received,running_voted_correctly,current_ep_votes_received,has_individual_immunity,vote_danger_ratio,historical_vote_pressure,majority_vote_rate,running_ind_immunity_win_rank,running_total_challenges_rank,running_votes_received_rank,running_attended_rank,running_voted_correctly_rank,current_ep_votes_received_rank,vote_danger_ratio_rank,historical_vote_pressure_rank,majority_vote_rate_rank,is_returnee_season,profile_ChW,profile_TotCh,profile_ChW%,profile_SO,profile_VFB,profile_VAP,profile_TotV,profile_TCA,profile_TC%,profile_wTCR,profile_VFT,profile_JVF,profile_TotJ,profile_JV%,profile_SurvSc,profile_SurvAv,profile_Days,profile_Non-VFB,profile_InRCA,profile_InRCW,profile_InICA,profile_InICW,profile_InChA,profile_InChW,profile_TRCA,profile_TRCW,profile_TICA,profile_TICW,profile_TChA,profile_TChW,profile_TChW%,profile_TRC 2nd,profile_TIC 2nd,profile_TrCh 2nd,profile_ChW_rank,profile_TotCh_rank,profile_ChW%_rank,profile_SO_rank,profile_VFB_rank,profile_VAP_rank,profile_TotV_rank,profile_TCA_rank,profile_TC%_rank,profile_wTCR_rank,profile_VFT_rank,profile_JVF_rank,profile_TotJ_rank,profile_JV%_rank,profile_SurvSc_rank,profile_SurvAv_rank,profile_Days_rank,profile_Non-VFB_rank,profile_InRCA_rank,profile_InRCW_rank,profile_InICA_rank,profile_InICW_rank,profile_InChA_rank,profile_InChW_rank,profile_TRCA_rank,profile_TRCW_rank,profile_TICA_rank,profile_TICW_rank,profile_TChA_rank,profile_TChW_rank,profile_TChW%_rank,profile_TRC 2nd_rank,profile_TIC 2nd_rank,profile_TrCh 2nd_rank
US0009,Jenna L.,Saboga,8.0,1.0,1.0,8_1,0,6,18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.5833333333333334,1,1.4845238095238094,11.892857142857142,0.12482482482482482,0,8,4,50,8,0.99,3.5,6,0,7,0.0,1.114824824824825,4.984523809523809,38.0,0,3.0,0.0,6.0,0,9.0,0.0,7,2,7,5,14,7,0.5,1,0,1,0.8333333333333334,1.0,0.3333333333333333,0.5833333333333334,1.0,0.5,0.9166666666666666,0.9166666666666666,1.0,1.0,0.9166666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,0.8333333333333334,1.0,0.16666666666666666,0.9166666666666666,0.5,1.0,0.5833333333333334,1.0,0.5,0.9166666666666666,0.75,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.5833333333333334,0.75
US0014,Rudy,Saboga,8.0,1.0,1.0,8_1,0,6,18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,1,0.2,0.5666666666666667,0.35294117647058826,0,1,3,11,2,0.36363636363636365,2.0,1,0,7,0.0,0.7165775401069518,2.2,6.0,1,0.0,0.0,0.0,0,0.0,0.0,1,1,2,0,3,1,0.3333333333333333,0,0,0,0.3333333333333333,0.3333333333333333,1.0,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5,0.3333333333333333,0.5,0.4166666666666667,0.5,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.25,0.5833333333333334,0.25
US0025,Jerri,Saboga,8.0,1.0,1.0,8_1,0,6,18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,1,0.7416666666666666,2.642857142857143,0.2806306306306306,0,5,7,33,6,0.797979797979798,2.121212121212121,3,0,7,0.0,1.0786104286104286,2.862878787878788,24.0,1,0.0,0.0,0.0,0,0.0,0.0,6,2,7,1,13,3,0.23076923076923078,1,0,1,0.5833333333333334,0.6666666666666666,0.5,0.5833333333333334,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.4166666666666667,0.5,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5,0.5833333333333334,0.75,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.75,0.5833333333333334,0.75
US0048,Ethan,Saboga,8.0,1.0,1.0,8_1,0,6,18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,1,0.7416666666666666,2.4428571428571426,0.3036062378167641,0,2,6,28,5,0.35714285714285715,1.12,3,0,7,0.0,0.6607490949596213,1.8616666666666668,21.0,3,0.0,0.0,0.0,0,0.0,0.0,6,2,6,1,12,3,0.25,1,0,1,0.5833333333333334,0.5,0.6666666666666666,0.5833333333333334,0.5,0.8333333333333334,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.5,1.0,0.4166666666666667,0.5,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5,0.5833333333333334,0.75,0.5,0.5833333333333334,0.5,0.5833333333333334,0.5,0.75,0.5833333333333334,0.75
US0107,Rupert,Saboga,8.0,1.0,1.0,8_1,0,6,18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,1,3.484523809523809,10.892857142857142,0.31989071038251365,0,6,4,50,8,0.74,2.625,6,0,7,0.0,1.0598907103825137,6.109523809523809,37.0,2,3.0,2.0,5.0,0,8.0,2.0,7,2,7,5,14,7,0.5,1,0,1,1.0,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.5,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,0.8333333333333334,1.0,0.9166666666666666,0.75,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.5833333333333334,0.75
US0032,Tina,Saboga,8.0,1.0,1.0,8_1,0,6,18,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6666666666666666,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,1.0,0.5833333333333334,0.5833333333333334,1,0.0,0.16666666666666666,0.0,0,0,4,6,1,-0.6666666666666666,0.0,0,0,7,0.0,-0.6666666666666666,0.0,3.0,1,0.0,0.0,0.0,0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.4166666666666667,0.5,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.5833333333333334,0.25
US0009,Jenna L.,Saboga,8.0,2.0,2.0,8_2,0,5,17,0.0,0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.6,0.6,1.0,0.6,0.7,0.4,0.4,1.0,0.7,1,1.4845238095238094,11.892857142857142,0.12482482482482482,0,8,4,50,8,0.99,3.5,6,0,7,0.0,1.114824824824825,4.984523809523809,38.0,0,3.0,0.0,6.0,0,9.0,0.0,7,2,7,5,14,7,0.5,1,0,1,0.8,1.0,0.2,0.6,1.0,0.5,0.9,0.9,1.0,1.0,0.9,0.6,0.6,0.6,1.0,0.8,1.0,0.2,0.9,0.5,1.0,0.6,1.0,0.5,0.9,0.7,0.8,0.9,0.9,0.9,0.9,0.7,0.6,0.7
US0025,Jerri,Saboga,8.0,2.0,2.0,8_2,0,5,17,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.5,0.6,0.7,0.4,0.4,0.5,0.7,1,0.7416666666666666,2.642857142857143,0.2806306306306306,0,5,7,33,6,0.797979797979798,2.121212121212121,3,0,7,0.0,1.0786104286104286,2.862878787878788,24.0,1,0.0,0.0,0.0,0,0.0,0.0,6,2,7,1,13,3,0.23076923076923078,1,0,1,0.5,0.6,0.4,0.6,0.6,1.0,0.6,0.6,0.8,0.6,0.5,0.6,0.6,0.6,0.8,0.6,0.6,0.5,0.4,0.5,0.4,0.6,0.4,0.5,0.5,0.7,0.8,0.5,0.6,0.5,0.2,0.7,0.6,0.7
US0048,Ethan,Saboga,8.0,2.0,2.0,8_2,0,5,17,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.0,0.0,0.6,0.6,0.5,0.6,0.2,0.8,0.8,0.5,0.2,1,0.7416666666666666,2.4428571428571426,0.3036062378167641,0,2,6,28,5,0.35714285714285715,1.12,3,0,7,0.0,0.6607490949596213,1.8616666666666668,21.0,3,0.0,0.0,0.0,0,0.0,0.0,6,2,6,1,12,3,0.25,1,0,1,0.5,0.4,0.6,0.6,0.4,0.8,0.4,0.4,0.2,0.2,0.5,0.6,0.6,0.6,0.2,0.2,0.4,1.0,0.4,0.5,0.4,0.6,0.4,0.5,0.5,0.7,0.4,0.5,0.4,0.5,0.4,0.7,0.6,0.7
US0107,Rupert,Saboga,8.0,2.0,2.0,8_2,0,5,17,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.5,0.6,0.7,0.4,0.4,0.5,0.7,1,3.484523809523809,10.892857142857142,0.31989071038251365,0,6,4,50,8,0.74,2.625,6,0,7,0.0,1.0598907103825137,6.109523809523809,37.0,2,3.0,2.0,5.0,0,8.0,2.0,7,2,7,5,14,7,0.5,1,0,1,1.0,0.8,0.8,0.6,0.8,0.5,0.9,0.9,0.6,0.8,0.9,0.6,0.6,0.6,0.6,1.0,0.8,0.8,0.9,1.0,0.8,0.6,0.8,1.0,0.9,0.7,0.8,0.9,0.9,0.9,0.9,0.7,0.6,0.7
